area,cod_mun,cod_sec,municipio,provincia,y19,y15
municipios,44010,,Albentosa,Teruel,14350,12250
municipios,16007,,La Alberca de Záncara,Cuenca,11550,10150
municipios,37010,,La Alberca,Salamanca,14350,13650
municipios,37011,,La Alberguería de Argañán,Salamanca,11550,10850
municipios,46011,,Alberic,Valencia,14350,11200
municipios,26006,,Alberite,La Rioja,16450,14350
municipios,50010,,Alberite de San Juan,Zaragoza,,
municipios,22011,,Albero Alto,Huesca,19250,18550
municipios,22012,,Albero Bajo,Huesca,19950,18200
municipios,22013,,Alberuela de Tubo,Huesca,17850,16450
municipios,25008,,Albesa,Lleida,17150,15050
municipios,50011,,Albeta,Zaragoza,17850,15750
municipios,25009,,L'Albi,Lleida,16450,13650
municipios,9009,,Albillos,Burgos,19950,16450
municipios,43002,,Albinya,Tarrago,15750,13650
municipios,43003,,L'Albiol,Tarrago,20650,17850
municipios,20004,,Albiztur,Gipuzkoa,23450,
municipios,12003,,Albocàsser,Castellón,15050,12950
municipios,4005,,Alboloduy,Almería,13650,11550
municipios,18003,,Albolote,Grada,14350,12250
municipios,18004,,Albondón,Grada,11550,8750
municipios,17004,,Albons,Giro,17150,15750
municipios,46012,,Alborache,Valencia,15750,12950
municipios,46013,,Alboraia/Alboraya,Valencia,19250,16450
municipios,2005,,Alborea,Albacete,11550,9450
municipios,50012,,Alborge,Zaragoza,17850,16450
municipios,5005,,Albornos,Ávila,13650,12250
municipios,4006,,Albox,Almería,12250,10150
municipios,30004,,Albudeite,Murcia,12950,10150
municipios,6005,,La Albuera,Badajoz,10850,9450
municipios,46014,,Albuixech,Valencia,16450,14350
municipios,18005,,Albuñán,Grada,13650,11550
municipios,18006,,Albuñol,Grada,9450,7700
municipios,18007,,Albuñuelas,Grada,11550,10150
municipios,6006,,Alburquerque,Badajoz,11550,9450
municipios,45004,,Alcabón,Toledo,12250,10150
municipios,2006,,Alcadozo,Albacete,12250,10150
municipios,44011,,Alcaine,Teruel,,
municipios,50013,,Alcalá de Ebro,Zaragoza,16450,12250
municipios,41004,,Alcalá de Guadaíra,Sevilla,13650,11550
municipios,22014,,Alcalá de Gurrea,Huesca,19250,16450
municipios,28005,,Alcalá de Heres,Madrid,17850,15050
municipios,44012,,Alcalá de la Selva,Teruel,17150,13650
municipios,16008,,Alcalá de la Vega,Cuenca,,10150
municipios,11001,,Alcalá de los Gazules,Cádiz,11550,8750
municipios,50014,,Alcalá de Moncayo,Zaragoza,15750,13650
municipios,12004,,Alcalà de Xivert,Castellón,13650,10850
municipios,2007,,Alcalá del Júcar,Albacete,12250,9450
municipios,22015,,Alcalá del Obispo,Huesca,17850,16450
municipios,41005,,Alcalá del Río,Sevilla,12250,10150
municipios,11002,,Alcalá del Valle,Cádiz,11550,8750
municipios,23002,,Alcalá la Real,Jaén,12950,10850
municipios,3006,,Alcalalí,Alicante,12950,11550
municipios,22016,,Alcampell,Huesca,15750,12250
municipios,26007,,Alcadre,La Rioja,14350,11550
municipios,43004,,Alcar,Tarrago,13650,11550
municipios,25010,,Alcanó,Lleida,17150,14350
municipios,10008,,Alcántara,Cáceres,14350,12250
municipios,30005,,Alcantarilla,Murcia,13650,11550
municipios,46016,,Alcàntera de Xúquer,Valencia,14350,11550
municipios,16009,,Alcantud,Cuenca,,
municipios,49003,,Alcañices,Zamora,15050,12250
municipios,44013,,Alcañiz,Teruel,16450,13650
municipios,45005,,Alcañizo,Toledo,13650,10850
municipios,14003,,Alcaracejos,Córdoba,12950,10850
municipios,2008,,Alcaraz,Albacete,12250,10850
municipios,25011,,Alcarràs,Lleida,15750,12950
municipios,46015,,Alcàsser,Valencia,15750,12950
municipios,29002,,Alcaucín,Málaga,11550,9450
municipios,23003,,Alcaudete,Jaén,12250,10150
municipios,45006,,Alcaudete de la Jara,Toledo,10850,8750
municipios,13005,,Alcázar de San Juan,Ciudad Real,15750,12950
municipios,16010,,Alcázar del Rey,Cuenca,12950,11200
municipios,47005,,Alcazarén,Valladolid,14350,12950
municipios,30902,,Los Alcázares,Murcia,12250,10850
municipios,13006,,Alcoba,Ciudad Real,14350,11550
municipios,28006,,Alcobendas,Madrid,20650,18550
municipios,19009,,Alcocer,Guadalajara,12250,10150
municipios,3007,,Alcocer de Planes,Alicante,17150,13650
municipios,9010,,Alcocero de Mola,Burgos,,
municipios,16011,,Alcohujate,Cuenca,,
municipios,4007,,Alcolea,Almería,10850,9450
municipios,13007,,Alcolea de Calatrava,Ciudad Real,13650,10150
municipios,22017,,Alcolea de Cinca,Huesca,17150,15050
municipios,19010,,Alcolea de las Peñas,Guadalajara,,
municipios,45007,,Alcolea de Tajo,Toledo,12250,10150
municipios,19011,,Alcolea del Pir,Guadalajara,14350,13650
municipios,41006,,Alcolea del Río,Sevilla,11550,9450
municipios,3008,,Alcoleja,Alicante,15750,11550
municipios,25012,,Alcoletge,Lleida,17150,15050
municipios,10009,,Alcollarín,Cáceres,11550,9450
municipios,42006,,Alcoba,Soria,20300,17500
municipios,37012,,Alcoda,Salamanca,12950,12250
municipios,40005,,Alcoda de Maderuelo,Segovia,,
municipios,6007,,Alconchel,Badajoz,10850,8750
municipios,50015,,Alconchel de Ariza,Zaragoza,,
municipios,16012,,Alconchel de la Estrella,Cuenca,,9450
municipios,6008,,Alconera,Badajoz,11550,9450
municipios,4008,,Alcóntar,Almería,13650,12250
municipios,12005,,L'Alcora,Castellón,17150,14350
municipios,28007,,Alcorcón,Madrid,18550,16450
municipios,44014,,Alcorisa,Teruel,16450,14350
municipios,19013,,Alcoroches,Guadalajara,17150,14350
municipios,43005,,Alcover,Tarrago,17850,15050
municipios,3009,,Alcoy/Alcoi,Alicante,15050,12250
municipios,22018,,Alcubierre,Huesca,17500,14350
municipios,42007,,Alcubilla de Avellaneda,Soria,12250,9450
municipios,42008,,Alcubilla de las Peñas,Soria,,
municipios,49004,,Alcubilla de Nogales,Zamora,15050,10850
municipios,13008,,Alcubillas,Ciudad Real,10850,9450
municipios,46018,,Alcublas,Valencia,12950,11550
municipios,7003,,Alcúdia,Baleares,16450,14350
municipios,46020,,L'Alcúdia de Crespins,Valencia,13650,10850
municipios,4009,,Alcudia de Monteagud,Almería,17850,13650
municipios,12006,,Alcudia de Veo,Castellón,15750,12250
municipios,46019,,L'Alcúdia,Valencia,15750,13650
municipios,10010,,Alcuéscar,Cáceres,11550,9450
municipios,46021,,Aldaia,Valencia,15050,12250
municipios,47006,,Aldea de San Miguel,Valladolid,14350,12250
municipios,35020,,La Aldea de San Nicolás,Las Palmas,12950,10150
municipios,10012,,Aldea del Cano,Cáceres,13650,10850
municipios,28008,,Aldea del Fresno,Madrid,13650,11550
municipios,37015,,Aldea del Obispo,Salamanca,12250,8750
municipios,10013,,La Aldea del Obispo,Cáceres,10150,10150
municipios,13009,,Aldea del Rey,Ciudad Real,12250,9450
municipios,45008,,Aldea en Cabo,Toledo,14350,10850
municipios,40012,,Aldea Real,Segovia,15750,12950
municipios,43904,,L'Aldea,Tarrago,14350,12250
municipios,10011,,Aldeacentenera,Cáceres,11550,8750
municipios,37013,,Aldeacipreste,Salamanca,10850,8050
municipios,37014,,Aldeadávila de la Ribera,Salamanca,14350,11900
municipios,42009,,Aldealafuente,Soria,,
municipios,40006,,Aldealcorvo,Segovia,,
municipios,37016,,Aldealengua,Salamanca,15750,14350
municipios,40007,,Aldealengua de Pedraza,Segovia,,
municipios,40008,,Aldealengua de Santa María,Segovia,,
municipios,42010,,Aldealices,Soria,,
municipios,42011,,Aldealpozo,Soria,,
municipios,42012,,Aldealseñor,Soria,,
municipios,47007,,Aldeamayor de San Martín,Valladolid,18550,16450
municipios,45009,,Aldeanueva de Barbarroya,Toledo,10850,8750
municipios,26008,,Aldeanueva de Ebro,La Rioja,14350,12250
municipios,37017,,Aldeanueva de Figueroa,Salamanca,16450,11550
municipios,19015,,Aldeanueva de Guadalajara,Guadalajara,,
municipios,40009,,Aldeanueva de la Serrezuela,Segovia,,
municipios,37018,,Aldeanueva de la Sierra,Salamanca,15750,12250
municipios,10014,,Aldeanueva de la Vera,Cáceres,12250,10150
municipios,45010,,Aldeanueva de San Bartolomé,Toledo,12950,12250
municipios,5007,,Aldeanueva de Santa Cruz,Ávila,11550,8750
municipios,10015,,Aldeanueva del Camino,Cáceres,11550,10150
municipios,40010,,Aldeanueva del Codol,Segovia,13650,11550
municipios,23004,,Aldeaquemada,Jaén,12950,11550
municipios,37019,,Aldearrodrigo,Salamanca,15750,10850
municipios,37020,,Aldearrubia,Salamanca,15050,13650
municipios,5008,,Aldeaseca,Ávila,12950,11200
municipios,37021,,Aldeaseca de Alba,Salamanca,,
municipios,37022,,Aldeaseca de la Frontera,Salamanca,13650,10850
municipios,40013,,Aldeasoña,Segovia,,
municipios,37023,,Aldeatejada,Salamanca,19250,17150
municipios,37024,,Aldeavieja de Tormes,Salamanca,,12250
municipios,40014,,Aldehorno,Segovia,,
municipios,10016,,Aldehuela de Jerte,Cáceres,13650,11550
municipios,37025,,Aldehuela de la Bóveda,Salamanca,16450,14350
municipios,50016,,Aldehuela de Liestos,Zaragoza,,
municipios,42013,,Aldehuela de Periáñez,Soria,,
municipios,37026,,Aldehuela de Yeltes,Salamanca,13650,11550
municipios,40015,,Aldehuela del Codol,Segovia,,
municipios,5010,,La Aldehuela,Ávila,12250,10150
municipios,42014,,Las Aldehuelas,Soria,,
municipios,18010,,Aldeire,Grada,13650,10850
municipios,40016,,Aldeonte,Segovia,,
municipios,43006,,Aldover,Tarrago,16450,14350
municipios,30006,,Aledo,Murcia,15050,12950
municipios,20005,,Alegia,Gipuzkoa,20650,
municipios,1001,,Alegría-Dulantzi,Álava,,
municipios,43007,,L'Aleixar,Tarrago,17150,14350
municipios,8003,,Alella,Barcelo,26250,23450
municipios,42015,,Alentisque,Soria,,
municipios,22019,,Alerre,Huesca,22750,21350
municipios,26009,,Alesanco,La Rioja,15050,13650
municipios,26010,,Alesón,La Rioja,,17850
municipios,18011,,Alfacar,Grada,12950,11550
municipios,46022,,Alfafar,Valencia,13650,10850
municipios,3010,,Alfafara,Alicante,15050,12250
municipios,50017,,Alfajarín,Zaragoza,18550,16450
municipios,44016,,Alfambra,Teruel,16450,14350
municipios,50018,,Alfamén,Zaragoza,15050,12250
municipios,22020,,Alfántega,Huesca,18550,18550
municipios,43008,,Alfara de Carles,Tarrago,13650,13650
municipios,46024,,Alfara de la Baronia,Valencia,14350,11550
municipios,46025,,Alfara del Patriarca,Valencia,17150,13650
municipios,49005,,Alfaraz de Sayago,Zamora,15750,12250
municipios,29003,,Alfarte,Málaga,11550,10150
municipios,29004,,Alfartejo,Málaga,10850,9450
municipios,26011,,Alfaro,La Rioja,16450,14350
municipios,46026,,Alfarp,Valencia,15750,12950
municipios,25013,,Alfarràs,Lleida,15050,12250
municipios,46027,,Alfarrasí,Valencia,15050,12250
municipios,3011,,L'Alfàs del Pi,Alicante,13650,10850
municipios,46023,,Alfauir,Valencia,15050,12250
municipios,25014,,Alfés,Lleida,18550,15750
municipios,12007,,Alfondeguilla,Castellón,15050,12250
municipios,43009,,Alforja,Tarrago,17150,14350
municipios,50019,,Alforque,Zaragoza,,
municipios,27002,,Alfoz,Lugo,15750,12950
municipios,9011,,Alfoz de Bricia,Burgos,,
municipios,39001,,Alfoz de Lloredo,Cantabria,15050,12950
municipios,9907,,Alfoz de Quintadueñas,Burgos,19250,17850
municipios,9012,,Alfoz de Santa Gadea,Burgos,,
municipios,41007,,La Algaba,Sevilla,12950,10850
municipios,24002,,Algadefe,León,15050,12950
municipios,7004,,Algaida,Baleares,18550,15750
municipios,41008,,Algámitas,Sevilla,11550,9450
municipios,11003,,Algar,Cádiz,11550,10150
municipios,19016,,Algar de Mesa,Guadalajara,,
municipios,46028,,Algar de Palancia,Valencia,15050,12950
